Year,Frequency,Attribute,Commodity,Geography,Unit,Amount
1986,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,67.943
1986,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,71.514
1986,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,77.433
1986,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,73.102
1987,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,67.245
1987,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,69.087
1987,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,72.962
1987,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,69.851
1988,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,70.847
1988,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,76.469
1988,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,72.52
1988,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,67.61
1989,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,63.647
1989,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,80.471
1989,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,89.467
1989,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,87.861
1990,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,76.166
1990,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,86.986
1990,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,90.879
1990,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,95.036
1991,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,97.732
1991,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,100.223
1991,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,100.877
1991,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,99.432
1992,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,103.057
1992,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,106.333
1992,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,112.001
1992,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,104.119
1993,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,110.447
1993,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,117.923
1993,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,113.104
1993,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,116.786
1994,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,132.751
1994,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,140.176
1994,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,139.114
1994,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,120.751
1995,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,121.2
1995,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,120.8
1995,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,92.2
1995,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,61.5
1996,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,91.918
1996,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,106.164
1996,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,119.237
1996,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,111.403
1997,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,114.2896
1997,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,126.856
1997,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,120.3136
1997,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,126.2728
1998,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,127.1962
1998,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,134.6386
1998,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,137.7832
1998,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,118.202
1999,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,131.0714
1999,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,140.3786
1999,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,150.5168
1999,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,143.8804
2000,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,144.2622
2000,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,159.0834
2000,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,161.292
2000,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,165.1896
2001,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,169.9033846
2001,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,175.0076538
2001,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,179.6915769
2001,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,182.6358462
2002,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,225.8593701
2002,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,249.299252
2002,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,256.5210236
2002,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,263.8242913
2003,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,262.4772727
2003,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,290.3098485
2003,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,304.6439394
2003,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,310.1166667
2004,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,311.6371321
2004,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,323.8166038
2004,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,332.1542642
2004,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,355.6045283
2005,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,364.3128148
2005,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,386.7066667
2005,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,406.4551852
2005,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,445.8497778
2006,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,465.9125926
2006,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,506.1859259
2006,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,545.8525926
2006,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,601.5427407
2007,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,643.8537058
2007,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,716.2191652
2007,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,818.6091476
2007,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,870.5320555
2008,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,895.4072
2008,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,874.14606
2008,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,910.37657
2008,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,1028.95921
2009,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,1060.51
2009,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,1134.464
2009,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,1189.335
2009,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,1206.848
2010,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,1242.658
2010,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,1254.872
2010,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,1257.794
2010,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,1263.417
2011,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,1265.728
2011,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,1303.844
2011,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,1243.296
2011,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,1187.164
2012,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,1124.38
2012,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,1105.063
2012,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,1191.162
2012,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,1220.522
2013,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,1215.751
2013,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,1271.144
2013,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,1298.856
2013,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,1337.939
2014,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,1276.24
2014,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,1293.929
2014,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,1294.531
2014,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,1335.39
2015,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,1300.202
2015,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,1316.279
2015,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,1264.796
2015,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,1342.337
2016,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,1343.078
2016,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,1371.212
2016,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,1346.101
2016,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,1371.562
2017,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,1391.29
2017,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,1397.464
2017,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,1388.639
2017,Q4 Jun-Aug,Alcohol for fuel use,Corn,United States,Million bushels,1427.434
2018,Q1 Sep-Nov,Alcohol for fuel use,Corn,United States,Million bushels,1365.704
2018,Q2 Dec-Feb,Alcohol for fuel use,Corn,United States,Million bushels,1308.554
2018,Q3 Mar-May,Alcohol for fuel use,Corn,United States,Million bushels,1340.016
