,Year,AlcoholforFuel,FoodSeedIndustrial,FeedandResidual
0,1986,289.99199999999996,1233.411,4659.467
1,1987,279.145,1251.647,4789.244
2,1988,287.44599999999997,1297.76,3933.91
3,1989,321.446,1370.04,4382.484
4,1990,349.067,1425.114,4608.906999999999
5,1991,398.264,1533.5059999999999,4797.9130000000005
6,1992,425.51,1555.752,5252.089
7,1993,458.26,1613.154,4679.85
8,1994,532.792,1715.197,5459.661
9,1995,395.7,1629.9479999999999,4690.7300000000005
10,1996,428.722,1716.13,5275.032999999999
11,1997,487.732,1838.7319020000002,5447.842
12,1998,517.8199999999999,1864.3111582,5449.812
13,1999,565.8472,1938.3453278000002,5639.872000000001
14,2000,629.8272000000001,1980.0659403,5818.902
15,2001,707.2384615,2065.4394702,5845.195
16,2002,995.5039370000001,2358.5637306,5544.536
17,2003,1167.5477273,2552.4933579,5777.639
18,2004,1323.2125284,2710.8240003,6131.649
19,2005,1603.3244445,3022.6800232,6111.311999999999
20,2006,2119.4938518,3545.9218167999998,5535.328
21,2007,3049.2140741,4446.9617141,5853.0289999999995
22,2008,3708.88904,5030.499039,5128.127
23,2009,4591.157,5966.421,5095.576
24,2010,5018.741,6432.098,4770.118
25,2011,5000.032,6430.721,4512.0689999999995
26,2012,4641.127,6044.306,4308.639
27,2013,5123.6900000000005,6530.8189999999995,5004.177000000001
28,2014,5200.09,6595.356,5287.44
29,2015,5223.6140000000005,6647.147,5117.853999999999
30,2016,5431.953,6885.23,5469.644
31,2017,5604.827,7056.522000000001,5304.3
32,2018,4014.274,5064.834,4594.4
